Product,Stage,File,Size (KB),Type,Priority
Social Intelligence Dashboard,05_plan_competitor_sweep,08_social_intelligence_dashboard_05_plan_competitor_sweep.md,9.9,Market Research,Critical
Social Intelligence Dashboard,01_big_idea_product_manifesto,08_social_intelligence_dashboard_01_big_idea_product_manifesto.md,8.0,Strategy,Critical
Ai Innovation Day,05_plan_competitor_sweep,07_ai_innovation_day_05_plan_competitor_sweep.md,7.5,Market Research,Critical
Social Intelligence Dashboard,06_plan_tam_sizing,08_social_intelligence_dashboard_06_plan_tam_sizing.md,7.3,Market Analysis,Critical
Ai Powered Research And Insight Sprint,05_plan_competitor_sweep,05_ai_powered_research_and_insight_sprint_05_plan_competitor_sweep.md,6.7,Market Research,Critical
Ai Consultancy Retainer,05_plan_competitor_sweep,06_ai_consultancy_retainer_05_plan_competitor_sweep.md,5.9,Market Research,Critical
Ai Innovation Programme,05_plan_competitor_sweep,03_ai_innovation_programme_05_plan_competitor_sweep.md,5.4,Market Research,Critical
Ai B C,05_plan_competitor_sweep,02_ai_b_c_05_plan_competitor_sweep.md,5.4,Market Research,Critical
Ai Innovation Day,06_plan_tam_sizing,07_ai_innovation_day_06_plan_tam_sizing.md,5.3,Market Analysis,Critical
Ai Innovation Day,01_big_idea_product_manifesto,07_ai_innovation_day_01_big_idea_product_manifesto.md,5.1,Strategy,Critical
Ai Consultancy Retainer,01_big_idea_product_manifesto,06_ai_consultancy_retainer_01_big_idea_product_manifesto.md,4.9,Strategy,Critical
Ai Power Hour,05_plan_competitor_sweep,01_ai_power_hour_05_plan_competitor_sweep.md,4.8,Market Research,Critical
Ai Leadership Partner Fractional Caio,05_plan_competitor_sweep,04_ai_leadership_partner_fractional_caio_05_plan_competitor_sweep.md,4.8,Market Research,Critical
Ai B C,01_big_idea_product_manifesto,02_ai_b_c_01_big_idea_product_manifesto.md,4.6,Strategy,Critical
Ai Consultancy Retainer,06_plan_tam_sizing,06_ai_consultancy_retainer_06_plan_tam_sizing.md,4.5,Market Analysis,Critical
Ai Leadership Partner Fractional Caio,01_big_idea_product_manifesto,04_ai_leadership_partner_fractional_caio_01_big_idea_product_manifesto.md,4.4,Strategy,Critical
Ai Leadership Partner Fractional Caio,06_plan_tam_sizing,04_ai_leadership_partner_fractional_caio_06_plan_tam_sizing.md,4.3,Market Analysis,Critical
Ai Innovation Programme,01_big_idea_product_manifesto,03_ai_innovation_programme_01_big_idea_product_manifesto.md,4.2,Strategy,Critical
Ai B C,06_plan_tam_sizing,02_ai_b_c_06_plan_tam_sizing.md,4.2,Market Analysis,Critical
Ai Powered Research And Insight Sprint,06_plan_tam_sizing,05_ai_powered_research_and_insight_sprint_06_plan_tam_sizing.md,4.0,Market Analysis,Critical
Ai Powered Research And Insight Sprint,01_big_idea_product_manifesto,05_ai_powered_research_and_insight_sprint_01_big_idea_product_manifesto.md,3.9,Strategy,Critical
Ai Power Hour,01_big_idea_product_manifesto,01_ai_power_hour_01_big_idea_product_manifesto.md,3.9,Strategy,Critical
Ai Innovation Programme,06_plan_tam_sizing,03_ai_innovation_programme_06_plan_tam_sizing.md,3.8,Market Analysis,Critical
Ai Power Hour,06_plan_tam_sizing,01_ai_power_hour_06_plan_tam_sizing.md,3.7,Market Analysis,Critical
Social Intelligence Dashboard,02_idea_exploration_functional_spec,08_social_intelligence_dashboard_02_idea_exploration_functional_spec.md,8.2,Development,High
Social Intelligence Dashboard,04_idea_exploration_user_stories,08_social_intelligence_dashboard_04_idea_exploration_user_stories.md,7.9,Product Planning,High
Ai Innovation Day,12_demo_investor_deck,07_ai_innovation_day_12_demo_investor_deck.md,7.3,Fundraising,High
Ai Powered Research And Insight Sprint,12_demo_investor_deck,05_ai_powered_research_and_insight_sprint_12_demo_investor_deck.md,6.3,Fundraising,High
Ai Consultancy Retainer,12_demo_investor_deck,06_ai_consultancy_retainer_12_demo_investor_deck.md,5.9,Fundraising,High
Ai Innovation Programme,12_demo_investor_deck,03_ai_innovation_programme_12_demo_investor_deck.md,5.5,Fundraising,High
Ai Consultancy Retainer,02_idea_exploration_functional_spec,06_ai_consultancy_retainer_02_idea_exploration_functional_spec.md,5.5,Development,High
Social Intelligence Dashboard,12_demo_investor_deck,08_social_intelligence_dashboard_12_demo_investor_deck.md,5.4,Fundraising,High
Ai B C,12_demo_investor_deck,02_ai_b_c_12_demo_investor_deck.md,5.4,Fundraising,High
Ai Innovation Day,02_idea_exploration_functional_spec,07_ai_innovation_day_02_idea_exploration_functional_spec.md,5.3,Development,High
Ai Innovation Day,04_idea_exploration_user_stories,07_ai_innovation_day_04_idea_exploration_user_stories.md,5.2,Product Planning,High
Ai Powered Research And Insight Sprint,04_idea_exploration_user_stories,05_ai_powered_research_and_insight_sprint_04_idea_exploration_user_stories.md,5.1,Product Planning,High
Ai Leadership Partner Fractional Caio,02_idea_exploration_functional_spec,04_ai_leadership_partner_fractional_caio_02_idea_exploration_functional_spec.md,5.1,Development,High
Ai Leadership Partner Fractional Caio,12_demo_investor_deck,04_ai_leadership_partner_fractional_caio_12_demo_investor_deck.md,5.1,Fundraising,High
Ai Innovation Programme,02_idea_exploration_functional_spec,03_ai_innovation_programme_02_idea_exploration_functional_spec.md,5.1,Development,High
Ai B C,04_idea_exploration_user_stories,02_ai_b_c_04_idea_exploration_user_stories.md,4.9,Product Planning,High
Ai Power Hour,12_demo_investor_deck,01_ai_power_hour_12_demo_investor_deck.md,4.8,Fundraising,High
Ai Consultancy Retainer,04_idea_exploration_user_stories,06_ai_consultancy_retainer_04_idea_exploration_user_stories.md,4.4,Product Planning,High
Ai Innovation Programme,04_idea_exploration_user_stories,03_ai_innovation_programme_04_idea_exploration_user_stories.md,4.2,Product Planning,High
