Product,Price,Total Files,Completed,Completion %,Errors,High Value Files,Status
Ai Powered Research And Insight Sprint 14 Demo,"£10,000",1,1,100.0%,1,0,⚠️ Has Errors
Ai Innovation Day 15 Demo,"£8,800",1,1,100.0%,1,0,⚠️ Has Errors
Social Intelligence Dashboard 15 Demo,[To be determined based on scope and markets] ,1,1,100.0%,1,0,⚠️ Has Errors
Ai Power Hour 03 Idea Exploration,£300,1,1,100.0%,0,1,✅ Complete
Ai Leadership Partner Fractional Caio 04 Idea Exploration,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Innovation Programme 07 Research,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai B C 02 Idea Exploration,"£2,000 for a 90-minute Exectutive Briefing",1,1,100.0%,0,0,✅ Complete
Ai Innovation Programme 01 Big Idea,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Leadership Partner Fractional Caio 01 Big Idea,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Innovation Day 09 Build,"£8,800",1,1,100.0%,0,1,✅ Complete
Ai Innovation Day 05 Plan,"£8,800",1,1,100.0%,0,1,✅ Complete
Ai B C 09 Build,"£2,000 for a 90-minute Exectutive Briefing",1,1,100.0%,0,0,✅ Complete
Social Intelligence Dashboard 01 Big Idea,[To be determined based on scope and markets] ,1,1,100.0%,0,1,✅ Complete
Ai Power Hour 06 Plan,£300,1,1,100.0%,0,1,✅ Complete
Ai Innovation Day 02 Idea Exploration,"£8,800",1,1,100.0%,0,1,✅ Complete
Ai Innovation Programme 09 Build,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Leadership Partner Fractional Caio 15 Demo,Bespoke,1,1,100.0%,1,0,⚠️ Has Errors
Ai Power Hour 05 Plan,£300,1,1,100.0%,0,1,✅ Complete
Ai Consultancy Retainer 04 Idea Exploration,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Consultancy Retainer 03 Idea Exploration,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Innovation Day 12 Demo,"£8,800",1,1,100.0%,1,1,⚠️ Has Errors
Ai Innovation Programme 08 Research Prd,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai B C 01 Big Idea,"£2,000 for a 90-minute Exectutive Briefing",1,1,100.0%,0,1,✅ Complete
Ai Innovation Programme 05 Plan,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Innovation Programme 02 Idea Exploration,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Innovation Day 01 Big Idea,"£8,800",1,1,100.0%,0,1,✅ Complete
Ai Consultancy Retainer 02 Idea Exploration,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Leadership Partner Fractional Caio 02 Idea Exploration,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Innovation Day 07 Research,"£8,800",1,1,100.0%,0,1,✅ Complete
Social Intelligence Dashboard 14 Demo,[To be determined based on scope and markets] ,1,1,100.0%,1,0,⚠️ Has Errors
Ai B C 08 Research Prd,"£2,000 for a 90-minute Exectutive Briefing",1,1,100.0%,0,1,✅ Complete
Ai Leadership Partner Fractional Caio 14 Demo,Bespoke,1,1,100.0%,1,0,⚠️ Has Errors
Ai Innovation Day 08 Research Prd,"£8,800",1,1,100.0%,0,1,✅ Complete
Ai Innovation Day 06 Plan,"£8,800",1,1,100.0%,0,1,✅ Complete
Ai Power Hour 07 Research,£300,1,1,100.0%,0,0,✅ Complete
Ai Power Hour 04 Idea Exploration,£300,1,1,100.0%,0,1,✅ Complete
Ai Power Hour 13 Demo,£300,1,1,100.0%,1,0,⚠️ Has Errors
Ai Innovation Programme 13 Demo,Bespoke,1,1,100.0%,1,0,⚠️ Has Errors
Ai Leadership Partner Fractional Caio 06 Plan,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Power Hour 02 Idea Exploration,£300,1,1,100.0%,0,0,✅ Complete
Social Intelligence Dashboard 04 Idea Exploration,[To be determined based on scope and markets] ,1,1,100.0%,0,1,✅ Complete
Ai Power Hour 10 Build Ui Landing,£300,1,1,100.0%,0,0,✅ Complete
Ai Consultancy Retainer 13 Demo,Bespoke,1,1,100.0%,1,0,⚠️ Has Errors
Ai Powered Research And Insight Sprint 03 Idea Exploration,"£10,000",1,1,100.0%,0,0,✅ Complete
Ai Leadership Partner Fractional Caio 09 Build,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Innovation Day 14 Demo,"£8,800",1,1,100.0%,1,0,⚠️ Has Errors
Ai Innovation Programme 11 Build Ui,Bespoke,1,1,100.0%,0,0,✅ Complete
Ai Consultancy Retainer 12 Demo,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Powered Research And Insight Sprint 04 Idea Exploration,"£10,000",1,1,100.0%,0,1,✅ Complete
Ai Innovation Programme 06 Plan,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai B C 12 Demo,"£2,000 for a 90-minute Exectutive Briefing",1,1,100.0%,0,1,✅ Complete
Ai Consultancy Retainer 01 Big Idea,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Leadership Partner Fractional Caio 08 Research Prd,Bespoke,1,1,100.0%,0,0,✅ Complete
Ai Power Hour 11 Build Ui,£300,1,1,100.0%,0,0,✅ Complete
Ai B C 06 Plan,"£2,000 for a 90-minute Exectutive Briefing",1,1,100.0%,0,1,✅ Complete
Ai Powered Research And Insight Sprint 10 Build Ui Landing,"£10,000",1,1,100.0%,0,0,✅ Complete
Ai B C 15 Demo,"£2,000 for a 90-minute Exectutive Briefing",1,1,100.0%,1,0,⚠️ Has Errors
Ai Innovation Programme 14 Demo,Bespoke,1,1,100.0%,1,0,⚠️ Has Errors
Ai B C 03 Idea Exploration,"£2,000 for a 90-minute Exectutive Briefing",1,1,100.0%,0,1,✅ Complete
Ai Innovation Day 11 Build Ui,"£8,800",1,1,100.0%,1,0,⚠️ Has Errors
Ai Consultancy Retainer 15 Demo,Bespoke,1,1,100.0%,1,0,⚠️ Has Errors
Ai Consultancy Retainer 14 Demo,Bespoke,1,1,100.0%,1,0,⚠️ Has Errors
Social Intelligence Dashboard 08 Research Prd,[To be determined based on scope and markets] ,1,1,100.0%,0,1,✅ Complete
Ai B C 10 Build Ui Landing,"£2,000 for a 90-minute Exectutive Briefing",1,1,100.0%,0,0,✅ Complete
Ai Innovation Programme 03 Idea Exploration,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Innovation Programme 12 Demo,Bespoke,1,1,100.0%,0,1,✅ Complete
Ai Innovation Day 10 Build Ui Landing,"£8,800",1,1,100.0%,0,0,✅ Complete
Ai Consultancy Retainer 06 Plan,Bespoke,1,1,100.0%,0,1,✅ Complete
